"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:78wfkJjg818p4V8tGVHagZ","Tangerine","spotify:artist:360NtdnCpSL0T7eyEphdWW","Noah Richardson","spotify:album:6EjH0t65vMGm2kfL2sCLVf","Tangerine","spotify:artist:360NtdnCpSL0T7eyEphdWW","Noah Richardson","2023-05-26","https://i.scdn.co/image/ab67616d0000b2739d3523863e6782700d2cb5ba","1","1","210000","https://p.scdn.co/mp3-preview/f707cce2e60016cd6f606657505af0045959f87d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","QZK6M2333528","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-10-27T15:36:24Z"
"spotify:track:5sUCU4eiyf0pplIJ7OGEoc","Beauty School","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:1GjjBpY2iDwSQs5bykQI5e","Diamond Eyes","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2008","https://i.scdn.co/image/ab67616d0000b27372c2145d48f68917a7361b15","1","5","287840","https://p.scdn.co/mp3-preview/af0731abd1beafc36ce4e93e9de75eb65ef5e624?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USRE11000113","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-10-27T17:57:05Z"
"spotify:track:2AjIuiuS1PbofmZR2fVVbG","Na Moonh Chhupa Ke Jiyo","spotify:artist:6MoG33ssSzwwE3YJS4e6hu","Mahendra Kapoor","spotify:album:2QqALQnRv8NFpVm7g9FvNJ","Hamraaz","spotify:artist:4Jdc5hzHfGwwc7dxquKGso, spotify:artist:1nLvkKjnfpnouM0Mpyd4cc","Ravi, Sahir Ludhianvi","1967-10-16","https://i.scdn.co/image/ab67616d0000b273e358cf52f69900dc95678c6d","1","1","357447","https://p.scdn.co/mp3-preview/d19487c06979fc47c3f85ccb2c0040cd62fb0440?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","INH100050020","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-10-30T01:58:10Z"
"spotify:track:5K2YU3ENuytMsx9bfJOFrw","Don't Matter","spotify:artist:7CzURHjIfP0ClUnjVRyF1i","Derik Fein","spotify:album:7qbKTfezFBs265qBgpGleg","Vertigo","spotify:artist:7CzURHjIfP0ClUnjVRyF1i","Derik Fein","2022-08-26","https://i.scdn.co/image/ab67616d0000b27302c6cf0760d797d0db36eecc","1","7","200446","https://p.scdn.co/mp3-preview/36bd455d7c3b9d8e484f82a3b14eba487dd7bbd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","NL4NL2220499","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-10-30T07:58:42Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:4uG8q3GPuWHQlRbswMIRS6","Dookie","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","1994-02-01","https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d","1","7","181533","https://p.scdn.co/mp3-preview/f055a866d726bac8593f15953d772c631505df7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USRE19900151","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-11-05T06:13:50Z"
"spotify:track:0clpa15g1NdJn9l9PG1AkV","Not That Kinda Guy","spotify:artist:4WY2fWk09nH1gOQDGMyHF2, spotify:artist:4HuxWB4MwMjcyWfDoBmJYJ","Alibi Music, Sam Wale","spotify:album:2J2r52fIv582LGmSCPV7om","Deep House","spotify:artist:4WY2fWk09nH1gOQDGMyHF2","Alibi Music","2015-07-01","https://i.scdn.co/image/ab67616d0000b2733eb2a997c97dadfafeaf4000","1","3","176883","https://p.scdn.co/mp3-preview/72cb3aecc87b4d4f137cad9277dfad4361c5e1c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZHXT1997891","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-11-05T06:19:59Z"
"spotify:track:61J7lYjF9oUeM7p4HRlnGv","the melody","spotify:artist:7465nr7hnjHt9YXICL2T8w","DAMONA","spotify:album:7BS4O9X6FegZiBr2DwcXyX","the melody","spotify:artist:7465nr7hnjHt9YXICL2T8w","DAMONA","2024-10-25","https://i.scdn.co/image/ab67616d0000b273c6459366854348576dfdcda7","1","1","145453","https://p.scdn.co/mp3-preview/0df64c0f5b5f322100c47322662458f6bc5d65cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","DEW242400110","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-11-05T06:44:51Z"
"spotify:track:3NDdVaNwmh8lYQqvnJT4vq","God's Top Shelf","spotify:artist:6C5UsZ26MzmcbxIZM6geL4","Blake Schmitz","spotify:album:7r79IogkWHYdI4s7xmgrUq","God's Top Shelf","spotify:artist:6C5UsZ26MzmcbxIZM6geL4","Blake Schmitz","2024-09-27","https://i.scdn.co/image/ab67616d0000b273a764892cb2acbaf46fde3af7","1","1","202622","https://p.scdn.co/mp3-preview/522a91ea308a0fd6218e7ea8f5f3f42d8f1aa91a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","QZTBB2494537","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-11-09T08:49:53Z"
"spotify:track:3I8JmPTBcauxo8HDXIFy8Q","Hell Of A Time","spotify:artist:6C5UsZ26MzmcbxIZM6geL4","Blake Schmitz","spotify:album:3ZdyrHWUFmFnMP4ehkFVEN","Hell Of A Time","spotify:artist:6C5UsZ26MzmcbxIZM6geL4","Blake Schmitz","2024-11-01","https://i.scdn.co/image/ab67616d0000b273bec58dbf8b14a3fe26628643","1","1","162545","https://p.scdn.co/mp3-preview/0e6b81f3dd87bb75e2bc936e58b9bc2146fd8f53?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","QZWFV2416593","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-11-09T10:02:02Z"
"spotify:track:19XOfn2vyMQJR7CeoPaeWf","Not That Kinda Guy","spotify:artist:3fePw6n7ygV222wnREArp6, spotify:artist:7465nr7hnjHt9YXICL2T8w","Yu, DAMONA","spotify:album:7lyZ6hVaWfIPbFT5ZJSBkU","Not That Kinda Guy","spotify:artist:3fePw6n7ygV222wnREArp6, spotify:artist:7465nr7hnjHt9YXICL2T8w","Yu, DAMONA","2024-11-08","https://i.scdn.co/image/ab67616d0000b273baa53b092e4926a6cb83701a","1","1","197067","https://p.scdn.co/mp3-preview/14f899bea7b16193af17a8cba4c91a9a38f86187?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","DEZC62456200","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-11-11T05:48:53Z"
