"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2hrycoFU1mZw6YPvMcn8yC","KEHLANI","spotify:artist:0jPHHnU8GUWEF7rwPE9osY","Jordan Adetunji","spotify:album:5Zwbll6KYxOjZSuxRjQDEm","KEHLANI","spotify:artist:0jPHHnU8GUWEF7rwPE9osY","Jordan Adetunji","2024-06-24","https://i.scdn.co/image/ab67616d0000b273f2cd132495d61b0da6a900d2","1","1","122360","https://p.scdn.co/mp3-preview/2ad9f03400a1744633dec4b907a3d5110931f973?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USAT22405690","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T11:23:37Z"
"spotify:track:7DXwjdCC47dfQvOyf4jhVI","Chakka Jaam","spotify:artist:5aTEgJLoUoEKsjYKNDlra2, spotify:artist:26EaUxXv2sgkQydPZhVsvN","DK, Aryxn","spotify:album:1CkRUPXDsODocyF1QYmQmD","Chakka Jaam","spotify:artist:5aTEgJLoUoEKsjYKNDlra2","DK","2024-03-07","https://i.scdn.co/image/ab67616d0000b27349f826309c758fc06351a529","1","1","112666","https://p.scdn.co/mp3-preview/901c7030094e08a9d4382d0a708e4527ddbd6a14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","CHF032409209","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T11:35:24Z"
"spotify:track:5r5cp9IpziiIsR6b93vcnQ","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","spotify:album:5B6XfyHHYawyLkEvNvhSPh","Walking On A Dream (10th Anniversary Edition)","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","2008-10-03","https://i.scdn.co/image/ab67616d0000b273f3aa0e6ca22a382007f61e4d","1","2","198440","https://p.scdn.co/mp3-preview/a21bd2feedf60140b9e163aa037bd285adb5e896?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","AUEI10800039","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T20:01:18Z"
"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Babydoll","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:05jbNkYoEQdjVDHEHtg1gY","Don't Forget About Me, Demos","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2018-10-16","https://i.scdn.co/image/ab67616d0000b2737b1b6f41c1645af9757d5616","1","3","97960","https://p.scdn.co/mp3-preview/bf5ab98492256120bd9c48658e9c899c8692f77f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USQX91802457","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T20:01:54Z"
"spotify:track:2Lumsra3kuU61wXkEKzKaK","Disco","spotify:artist:1gl0S9pS0Zw0qfa14rDD3D","Surf Curse","spotify:album:46LE2xR4e92aVvo1QlUiS3","Disco","spotify:artist:1gl0S9pS0Zw0qfa14rDD3D","Surf Curse","2019-06-12","https://i.scdn.co/image/ab67616d0000b273938fa1b1ee50acdc57396e2f","1","1","152760","https://p.scdn.co/mp3-preview/cf262f0b00a72bad31bc5147d068cfae04ad326f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT22103311","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T20:02:03Z"
"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Creep","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:3gBVdu4a1MMJVMy6vwPEb8","Pablo Honey","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1993-02-22","https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95","1","2","238640","https://p.scdn.co/mp3-preview/713b601d02641a850f2a3e6097aacaff52328d57?cid=9950ac751e34487dbbe027c4fd7f8e99","true","90","GBAYE9200070","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T20:02:35Z"
"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Until I Found You","spotify:artist:5XKFrudbV4IiuE5WuTPRmT","Stephen Sanchez","spotify:album:6BUPtXbb2tspYnkVdg5Ef7","Easy On My Eyes","spotify:artist:5XKFrudbV4IiuE5WuTPRmT","Stephen Sanchez","2022-08-19","https://i.scdn.co/image/ab67616d0000b2739522042f86d0bb0d4e9e3783","1","7","176666","https://p.scdn.co/mp3-preview/0a164f0a3b44a259620445c5d2a1b23c2636956b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUG12103651","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-25T20:02:47Z"
"spotify:track:03T4ttRCiLXST6MZjeMwmR","Orphans","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2FeyIYDDAQqcOJKOKhvHdr","Everyday Life","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2019-11-22","https://i.scdn.co/image/ab67616d0000b273733913465adb99353020b805","2","2","197533","https://p.scdn.co/mp3-preview/f3ac3df8c60d2e907d0038f862aff9b944a029fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYE1901251","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-27T05:22:28Z"
"spotify:track:6xX6zmaXeKzB4u9TiM1XgU","WE PRAY","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:6eXZu6O7nAUA5z6vLV8NKI, spotify:artist:3wcj11K77LjEY1PkEazffa, spotify:artist:0jIWKlfmD4Ew7HeVVrq03g, spotify:artist:7vXDAI8JwjW531ouMGbfcp","Coldplay, Little Simz, Burna Boy, Elyanna, TINI","spotify:album:1PdMoahMiMnqWfzWZs3xSI","Moon Music (Full Moon Edition)","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2024-10-03","https://i.scdn.co/image/ab67616d0000b273ed4cd21086be1931a5b9d2c9","1","3","233406","https://p.scdn.co/mp3-preview/73916385bbde674e90f0c6988673dca853d1bcfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAYE2400890","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-27T05:50:56Z"
"spotify:track:32lItqlMi4LBhb4k0BaSaC","Candy Paint","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","17","227533","https://p.scdn.co/mp3-preview/5821f55e076a1477c63588d1a0859a8893152e97?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM71711842","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-01-29T09:27:53Z"
