"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4l0HxP8wm5iWHqo9myvFsm","Deceptacon","spotify:artist:2n6FviARgtjjimZXu18uRM","Le Tigre","spotify:album:5k3SJlcTe5aDF7gDkcBnOL","Le Tigre","spotify:artist:2n6FviARgtjjimZXu18uRM","Le Tigre","1999-01-11","https://i.scdn.co/image/ab67616d0000b2731c16f1be6a8ead241bec8522","1","1","184686","https://p.scdn.co/mp3-preview/81de3cb95ee098042438053c7df14ac3de94ad91?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","TCABE1211301","","2024-09-24T16:35:19Z"
"spotify:track:4XA2TXEycTQL3xhPV7L2kt","Savera","spotify:artist:5tVEtYVMATyQ6OVOetuZlk, spotify:artist:1jR0u53xF6iccwKAu9SD3H","Iqlipse Nova, Anubha Bajaj","spotify:album:3JEj0JqpBIbAiIJ3SyADpd","Savera","spotify:artist:5tVEtYVMATyQ6OVOetuZlk, spotify:artist:1jR0u53xF6iccwKAu9SD3H","Iqlipse Nova, Anubha Bajaj","2024-06-13","https://i.scdn.co/image/ab67616d0000b273985e11d74b2a28294db75c8b","1","1","143472","https://p.scdn.co/mp3-preview/d43910d10990597609ea439f5f6cf65b86efab1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","INS172408892","","2024-09-22T16:31:11Z"
"spotify:track:0NslHuacjxQYfUTOW3HCIV","New Slang - 2021 Remaster","spotify:artist:4LG4Bs1Gadht7TCrMytQUO","The Shins","spotify:album:5XmhHMj5LZLWo32aA6ntKE","Oh, Inverted World (20th Anniversary Remaster)","spotify:artist:4LG4Bs1Gadht7TCrMytQUO","The Shins","2001-06-19","https://i.scdn.co/image/ab67616d0000b2734205b816277c7f9dba098d28","1","6","230866","https://p.scdn.co/mp3-preview/fe6304a496f32bcbe6f80974abd4cd6df52caffc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSUB2141506","","2024-09-19T21:06:50Z"
"spotify:track:2kQ4qdEtzWR1scQBlsjl8M","Blockbuster","spotify:artist:1LAdnp9wIdKClX7Cool0GD, spotify:artist:4E2wX4DFQFhlLyVzRw0C1P, spotify:artist:2zOjtDwrBj757zRzqgHP82","Faris Shafi, Umair Butt, Gharvi Group","spotify:album:6uqXvhk1Qq1sUUDTDZgxg8","Blockbuster","spotify:artist:1LAdnp9wIdKClX7Cool0GD, spotify:artist:4E2wX4DFQFhlLyVzRw0C1P, spotify:artist:2zOjtDwrBj757zRzqgHP82","Faris Shafi, Umair Butt, Gharvi Group","2024-05-25","https://i.scdn.co/image/ab67616d0000b27374a0dfa33a8d19e47f7314b6","1","1","274570","https://p.scdn.co/mp3-preview/297dd5ac23e5769eb4789cf454f64bb07b5bdb03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","US38Y2410232","","2024-09-18T09:50:25Z"
"spotify:track:63SevszngYpZOwf63o61K4","Nevermind","spotify:artist:3EOEK57CV77D4ovYVcmiyt","Dennis Lloyd","spotify:album:6c5gDwB7Xo58thk2vap4Ch","Nevermind","spotify:artist:3EOEK57CV77D4ovYVcmiyt","Dennis Lloyd","2017-06-30","https://i.scdn.co/image/ab67616d0000b2734dbdd4d3c69bec0d471fc479","1","1","156600","https://p.scdn.co/mp3-preview/53dfd244b22ffa132a91d7b224885f44c2a776ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USHM91642610","","2024-09-17T09:02:52Z"
"spotify:track:299e1PrZ2VB8axY2T6ub9Q","Tu Mere","spotify:artist:6cZWUqYKHHpII7Ot3K8YfT","Exoon'n","spotify:album:2c1wDXnmU4Pg06Zs5RxY2c","Tu Mere","spotify:artist:6cZWUqYKHHpII7Ot3K8YfT","Exoon'n","2022-07-01","https://i.scdn.co/image/ab67616d0000b2737cb7a09d91b50895770049bc","1","1","151304","https://p.scdn.co/mp3-preview/fd6854f57613adbe32bc921b0ecb1829bb03b636?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRX202246076","","2024-08-30T08:38:39Z"
"spotify:track:4ztdjZ2t7BVo5DLIFQBdJh","Jericho","spotify:artist:2ih5M0aTrQ97JX1nZuxDQY","Iniko","spotify:album:3TF9WzclcGdnebpaHgMyxh","Jericho","spotify:artist:2ih5M0aTrQ97JX1nZuxDQY","Iniko","2023-04-15","https://i.scdn.co/image/ab67616d0000b273cb9eb26c1431d576ca8f205c","1","1","158133","https://p.scdn.co/mp3-preview/92293cd071cd09f0767a5f696c0b4e7dc66d92f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USQX92302565","","2024-08-02T06:05:58Z"
"spotify:track:4RLHj4aXHBZIWPBsXqEGgO","The King's Affirmation","spotify:artist:2ih5M0aTrQ97JX1nZuxDQY","Iniko","spotify:album:5n7GrqzEmcmhhuXmJhHBbD","The King's Affirmation","spotify:artist:2ih5M0aTrQ97JX1nZuxDQY","Iniko","2022-04-29","https://i.scdn.co/image/ab67616d0000b273f04ad7722a049f82d59f2c3e","1","1","159344","https://p.scdn.co/mp3-preview/96528b104cbc9df5b8964157b25cb0a7618c726f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USQX92204427","","2024-08-02T06:05:52Z"
"spotify:track:3oUphdZVPyrsprZ8FgbmQS","I Need A Dollar","spotify:artist:0id62QV2SZZfvBn9xpmuCl","Aloe Blacc","spotify:album:6G9PvX9f6Dq26JzsiVHIdl","Good Things","spotify:artist:0id62QV2SZZfvBn9xpmuCl","Aloe Blacc","2010-09-28","https://i.scdn.co/image/ab67616d0000b2738cd619de9f7a5b41de814e0c","1","1","243053","https://p.scdn.co/mp3-preview/eb9b64551c5bde9eb2df14efb516db9c3034fe30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","US2S71045001","","2024-07-28T18:00:50Z"
"spotify:track:6V4N3h4HYD1Ask9cUTxjjg","Long time no see","spotify:artist:1yMP2gzEFgUkib4khXN6hi, spotify:artist:7rEwKApsZMo8cXVxAndmvD, spotify:artist:2cjQTf2J5yCaNY8qHpW855","Taimour Baig, Raffey Anwar, AUR","spotify:album:5qBulMP2DP48SEyNwsXY79","Long time no see","spotify:artist:1yMP2gzEFgUkib4khXN6hi, spotify:artist:7rEwKApsZMo8cXVxAndmvD, spotify:artist:2cjQTf2J5yCaNY8qHpW855","Taimour Baig, Raffey Anwar, AUR","2023-07-16","https://i.scdn.co/image/ab67616d0000b2733829f3d2e72a904be8561cbb","1","1","218600","https://p.scdn.co/mp3-preview/f5b4d0d95079639df5828c34a3e17c492470215c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","QZNWU2351662","","2024-07-13T10:46:59Z"
