"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2Fw5S2gaOSZzdN5dFoC2dj","A.D.H.D","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:1bkN9nIkkCnXeG4yitVS1J","Section.80","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2011-07-02","https://i.scdn.co/image/ab67616d0000b273eddb2639b74ac6c202032ebe","1","3","215509","https://p.scdn.co/mp3-preview/373593dd102cf4caddd5f3404aa1150bc186adcd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUYG1008102","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:24Z"
"spotify:track:0zO8ctW0UiuOefR87OeJOZ","Collard Greens","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","ScHoolboy Q, Kendrick Lamar","spotify:album:7Et3bSTLLqdABO1qCxUplS","Oxymoron (Deluxe)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2014-01-01","https://i.scdn.co/image/ab67616d0000b27336977e237a8f70ec6c990636","1","3","299960","https://p.scdn.co/mp3-preview/4a19ec418966837d86c62eb4ba3c96fd62a796f0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71307354","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:28Z"
"spotify:track:5UsLjwBaTHBX4ektWIr4XX","Forever","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Drake, Kanye West, Lil Wayne, Eminem","spotify:album:7MZzYkbHL9Tk3O6WeD4Z0Z","Relapse: Refill","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2009-05-15","https://i.scdn.co/image/ab67616d0000b273506c4cc93e5a6234164125e1","2","1","357706","https://p.scdn.co/mp3-preview/3f6dd233fd87d673838e16846846f9fed5f66c23?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM70920707","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:32Z"
"spotify:track:4X5f3vT8MRuXF68pfjNte5","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","spotify:album:6rzMufuu8sLkIizM4q9c7J","LONG.LIVE.A$AP (Deluxe Version)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2013","https://i.scdn.co/image/ab67616d0000b2732ae92030b51fb8135d694af9","1","7","233786","https://p.scdn.co/mp3-preview/77d6e84f7d33f7d05d9445953938adcc9b4600b2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USRC11201220","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:34Z"
"spotify:track:2wGSgTmgSF3xjRrHkTc25R","Hate It Or Love It","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI, spotify:artist:3q7HBObVc0L8jNeTe5Gofh","The Game, 50 Cent","spotify:album:4PrPbmm0gKvaD3rerOXFg8","The Documentary","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI","The Game","2005","https://i.scdn.co/image/ab67616d0000b273b1d860ab1ba847e778b2796d","1","4","206400","https://p.scdn.co/mp3-preview/6d21bd716841ab53e3a665dd4ea8060e9f37ddd4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USIR10401121","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:37Z"
"spotify:track:4ZPdLEztrlZqbJkgHNw54L","Good Life","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Kanye West, T-Pain","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","5","207000","https://p.scdn.co/mp3-preview/bc34b195574e5684735b60ce124b057f84628636?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUM70749087","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:41Z"
"spotify:track:0Thqjtu54vKMP06pwZkAWp","G.O.M.D","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","8","301064","https://p.scdn.co/mp3-preview/86ffc11709c27de76b70dc0e54f98f4ac853c1a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USQX91402597","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:43Z"
"spotify:track:4wEbikMfcSFAukCbbL06si","No Vaseline","spotify:artist:3Mcii5XWf6E0lrY3Uky4cA","Ice Cube","spotify:album:062N80S3hs96dOhFzmvfLj","Death Certificate","spotify:artist:3Mcii5XWf6E0lrY3Uky4cA","Ice Cube","1991-10-29","https://i.scdn.co/image/ab67616d0000b273b7b1138c52a208d1f8194f99","1","20","313546","https://p.scdn.co/mp3-preview/24d10290547a8e81ac05b409bfec7638526325a7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USPO19100038","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:45Z"
"spotify:track:4WEuEfFiczWxblHyuucSBL","HiiiPower","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:1bkN9nIkkCnXeG4yitVS1J","Section.80","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2011-07-02","https://i.scdn.co/image/ab67616d0000b273eddb2639b74ac6c202032ebe","1","15","279854","https://p.scdn.co/mp3-preview/edb8228a8275649710e96d7ba2d132ebcbd5ba28?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUYG1008115","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:46Z"
"spotify:track:3A4cpTBPaIQdtPFb5JxtaX","Slow Jamz","spotify:artist:6vbY3hOaCAhC7VjucswgdS, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7LnaAXbDVIL75IVPnndf7w","Twista, Kanye West, Jamie Foxx","spotify:album:4Uv86qWpGTxf7fU7lG5X6F","The College Dropout","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2004-02-10","https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78","1","12","316053","https://p.scdn.co/mp3-preview/84c73e0f1c1ff013f850c2f23967d8d7967f5192?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT20303708","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:49Z"
"spotify:track:3uqinR4FCjLv28bkrTdNX5","A Milli","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","spotify:album:1Do3y8IAcbYOToYQJnGwSO","Tha Carter III","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","2008-01-01","https://i.scdn.co/image/ab67616d0000b273aa739a5e844220bb44a64adc","1","3","221840","https://p.scdn.co/mp3-preview/aff10f1a410ba9dff8b66d252ab1e8be934b4a37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USCM50800553","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-23T23:53:54Z"
"spotify:track:2Uts1QFB4u2YNIMiqcb4de","peekaboo (feat. azchike)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:6fqjJNsLs7g6F3PXy01Xnw","Kendrick Lamar, AZ Chike","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","9","155917","https://p.scdn.co/mp3-preview/4d7c7111420e631e1928ec6e67c7fd5801c3cb32?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","USUG12408501","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T12:22:49Z"
"spotify:track:5ho7VSXSmI2KM2nDjcnLyz","man at the garden","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","4","233173","https://p.scdn.co/mp3-preview/ccfc8e9ed715423ad9e1cc869a392c4f24ef968b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUG12408498","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T13:24:07Z"
"spotify:track:5gOfC9UzZQzTyShqPMrpjT","wacced out murals","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","1","317092","https://p.scdn.co/mp3-preview/19fa10696b3e603fad23d9947832cc403873ff8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG12408495","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T13:24:28Z"
